user_id	user_name
1839348	.anacondabot
13600931	(1.VSNCT)Bot
3437172	^demonBot2
15180382	123Hedgebot456
13146235	28bot
8317012	3RRBot
9978044	AarghBot
216645	ABot
4531576	ACBot
3951437	AccReqBot
3938356	AdambroBot
16029328	AddihockeyBot
9710412	Adlerbot
13743053	Admrbot
9495007	AEBot
5832219	AfDBot
4673894	AfdlBot
8821540	AfDStatBot
931714	Afkbot
1025753	AIDbot
7671243	AilurophobiaBot
8579183	AiuwBot
6756213	AkhtaBot
4470916	Aksibot
1814403	AlaibotToo
6552142	Albambot
1423162	Albotim
9466074	AlekseyBot
1592577	Alertbot
15652327	AlexandriaBot
5517884	Alexbot
3364885	AlexNewArtBot
13993186	AllaSmackBot
3813685	AlleborgoBot
8632427	AllieBot
8400818	Almabot
3096998	AlnoktaBOT
7716793	AloysiusLiliusBot
1671506	Alphachimpbot
5245488	AlptaBot
5256666	AlptaSandboxBot
7977711	AlyBot
2313330	AMABot
4556419	AMbot
7482776	AmeliorationBot
15538286	AmerigoBOT
7390477	Amirobot
15093225	Amolbot
9810518	AmphBot
3183739	AnchorBot
6986250	AndersBot
2897456	AndreasJSbot
386266	Andrewbot
14018952	AngelBot
9768455	Angria77Bot
4766377	Anibot
11315309	Anonymoususerdaily
8677073	AntiAbuseBot
3746172	Antischmitzbot
2654847	AntiSpamBot
1574574	AntiVandalBot
7536205	Anybot
1756359	AP.BOT
15766305	Aplikasi-Bot
1618012	Apostrobot
5071263	ArbComBot
8719212	Arbitrarily0Bot
4373711	ArkyBot
2732178	ArmadilloProcessBot
12768723	Armanbot
7785638	ARSBot
7822573	ArticleAlertbot
13092125	ArticleAlertingBot
2321979	ArticleGrinder
5019717	ARVBot
7077167	AsenineBot
2041210	AsgardBot
9618947	AstaBOTh15
4549258	AstraleBot
15800598	AswnBot
8163269	AudeBot
13148882	AusTerrapinBotEdits
15497956	Autobot
4579728	AutocracyBot
5955988	Autotitlechange
8471851	AVBOT
12628297	AVdiscuBOT
14893258	AvocatoBot
6538556	AWeenieBot
8782565	AwOcBot
630810	AzaBot
1769948	AZPR
10290761	B.Zsoltbot
24926000	Babylon5
12009199	BackfireBot
12009337	BackfireBotII
3862802	BAGBot
6322261	BaldBot
5417770	BannerBot
7202658	BarkBot
2003781	BazookaBot
14641272	BendelacBOT
9446222	BenzolBot
6937400	BepBot
12110941	Bersibot
1385729	BetacommandBot
3091606	BezkingBot
3091722	BezkingBot-Link
14508071	BG19bot
5737366	BHGbot
6471211	Bikabot
5021866	BioPhotoBot
4129421	BirthdayBot
3304981	BJBot
13505376	BlackDart
13505451	BlackDemon2
8663327	BlackpoolFCBot
6743878	BLPWatchBot
527862	Bluebot
2032569	BoBot
2253149	Bocianski.bot
6228552	BodhisattvaBot
9747859	BokimBot
15384490	BolatbekBot
7641470	Bolling26
14084209	Bonabot
1276443	Bookbot
8962995	BorgardeBot
5048966	BoricuaBot
900789	Bot-chan-II
2556697	Bot-Schafter
338065	BOT-Superzerocool
7125835	Bot0612
341052	Bota47
6052982	Botalex
3732271	BotanyBot
5870361	BOTarate
1782903	BotChristophe
4215433	BotCompuGeek
11292691	BotdeSki
1778819	BOTepho
3479822	BotKung
11406364	Botlaf
5174570	Botodo
13064093	Botones
6255927	Botpankonin
8299385	BotPuppet
814230	Botryoidal
6276006	BotSottile
4729200	BoxCrawler
3410049	Broadbot
12562331	BrokenAnchorBot
3729175	BrownBot
13110297	BsherrAWBBOT
9082558	BücherBot
9202675	BumlaBot
4424264	Byrialbot
13350630	CactusBot
5927777	CAGBot
7468741	CakeBot
91310	CanisRufus
5512121	CapitalBot
9377106	CaraBot
6929011	CarsracBot
9215813	CataBotTsirel
15721048	Caypartisbot
1825826	CbmBOT
13314588	CekPotBot
14259548	Cellistbot
8038968	CERabot
6632463	CerebrumBot
6280278	CG-bot
5375009	ChandlerMapBot
14662122	ChayitaBOT
13675452	Cheers!-bot
4806773	Chem-awb
7377957	CheMoBot
4870335	Cherybot
14682280	ChessBOT
620581	Chlewbot
259798	Chobot
5611431	ChoreBot
5132189	Chrisbot
12929566	ChuispastonBot
10734943	ChzzBot
15077129	CinemaBot
15270283	CitationCleanerBot
1337329	CitationTool
9304486	CiteFixBot
1188046	CJBot
6446225	ClanBot1
3095086	CleanBot
8702745	ClerkBot
10051648	ClickBot
4928500	ClueBot
1079367	CmdrObot
11810411	CMoonBot
4551104	COBot
10581101	CobraBot
5503687	CohesionBot
470377	CollabBot
11243858	CollabRCBot
6316599	Comics-awb
6442961	Commonb0t
15995702	Computermacgyverbot
12598842	ConnectiBot
10238234	ContentCreationBOT
2255142	CopyToWiktionaryBot
6131653	CorenANIBot
15526982	CorenBlockMonBot
6233198	Coreva-Bot
5160136	CosineBot
5272864	CounterVandalismBot
7246336	CountryBot
1410993	CrazynasBot
587779	CricketBot
12169187	CrimsonBot
2075237	Cronbot
9556365	CSDCheckBot
5111608	CSDWarnBot
397664	Curpsbot-unicodify
12618449	CwengerBot
8311309	CwraschkeDataBot
14079138	Cwt96bot
9274371	D'ohBot
75561	D6
12316049	DabBot
4406090	DalcherBot
2699367	DallasBot
4553418	DanielBot
7594340	Danielfolsom2.bot
2860054	Danumber1bot
16185576	DarafshBot
6100386	Darkicebot
11249983	DASHBot
9342863	DatabaseBot
8356197	DavidWSBot
4530215	DeadBot
8435267	DeadLinkBOT
11130678	DEagleBot
9721846	DefaultsortBot
3210318	DeleteAsstBot
5592739	DeliveryBot
7155532	Denbot
12973560	DermBOT
5478189	Detroiterbot
16752040	Dexbot
699909	DFBot
13696817	Dibot
3791559	DieBucheBot
1564757	DigitalmeBot
2926201	Dillonbot
10500236	Dinamik-bot
7128788	DinoBot2
4502708	DinoSizedBot
3242927	Dinybot
8008198	DirlBot
4550951	DisambigRedirBot
7481014	Disambot
7000197	DividingBot
10330367	DixonDBot
12529212	DodoBot
2424884	DomBot
2844817	DorganBot
9768060	DottyQuoteBot
15841263	DougBot
9397861	DownloadBot
